2023-10-23 18:19:14,802 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 17.0.8.1 with PID 480 (C:\Users\RyanSalisbury\Documents\Training\spring-boot_git\draughts_game\target\classes started by RyanSalisbury in C:\Users\RyanSalisbury\Documents\Training\spring-boot_git\draughts_game)
2023-10-23 18:19:14,806 [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v3.1.5, Spring v6.0.13
2023-10-23 18:19:14,807 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2023-10-23 18:19:15,336 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-10-23 18:19:15,403 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63 ms. Found 3 MongoDB repository interfaces.
2023-10-23 18:19:15,875 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-10-23 18:19:15,884 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-10-23 18:19:15,887 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-10-23 18:19:15,887 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2023-10-23 18:19:16,011 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-10-23 18:19:16,013 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1152 ms
2023-10-23 18:19:16,239 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.9.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.8.1+1-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='ryansalisbury', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@21b6c9c2, com.mongodb.Jep395RecordCodecProvider@309cedb6]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.uh2lbdw.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-zi8cat-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-10-23 18:19:16,303 [cluster-ClusterId{value='6536ab14c9424c6773fb2256', description='null'}-srv-cluster0.uh2lbdw.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-nuruu1h-shard-00-00.uh2lbdw.mongodb.net:27017 to client view of cluster
2023-10-23 18:19:16,325 [cluster-ClusterId{value='6536ab14c9424c6773fb2256', description='null'}-srv-cluster0.uh2lbdw.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-nuruu1h-shard-00-02.uh2lbdw.mongodb.net:27017 to client view of cluster
2023-10-23 18:19:16,326 [cluster-ClusterId{value='6536ab14c9424c6773fb2256', description='null'}-srv-cluster0.uh2lbdw.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017 to client view of cluster
2023-10-23 18:19:16,894 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-10-23 18:19:16,915 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-10-23 18:19:16,923 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 2.5 seconds (process running for 2.774)
2023-10-23 18:19:17,186 [cluster-ClusterId{value='6536ab14c9424c6773fb2256', description='null'}-ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=492180800, setName='atlas-zi8cat-shard-0', canonicalAddress=ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017, hosts=[ac-nuruu1h-shard-00-00.uh2lbdw.mongodb.net:27017, ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017, ac-nuruu1h-shard-00-02.uh2lbdw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000006, setVersion=1, topologyVersion=TopologyVersion{processId=65315f4a0ea4469a9a8efd6a, counter=7}, lastWriteDate=Mon Oct 23 18:19:16 BST 2023, lastUpdateTimeNanos=368207288877800}
2023-10-23 18:19:17,186 [cluster-ClusterId{value='6536ab14c9424c6773fb2256', description='null'}-ac-nuruu1h-shard-00-00.uh2lbdw.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-nuruu1h-shard-00-00.uh2lbdw.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=492129500, setName='atlas-zi8cat-shard-0', canonicalAddress=ac-nuruu1h-shard-00-00.uh2lbdw.mongodb.net:27017, hosts=[ac-nuruu1h-shard-00-00.uh2lbdw.mongodb.net:27017, ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017, ac-nuruu1h-shard-00-02.uh2lbdw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=6531604ddb7779060aa97c10, counter=4}, lastWriteDate=Mon Oct 23 18:19:16 BST 2023, lastUpdateTimeNanos=368207288878600}
2023-10-23 18:19:17,190 [cluster-ClusterId{value='6536ab14c9424c6773fb2256', description='null'}-ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017 with max election id 7fffffff0000000000000006 and max set version 1
2023-10-23 18:19:17,559 [cluster-ClusterId{value='6536ab14c9424c6773fb2256', description='null'}-ac-nuruu1h-shard-00-02.uh2lbdw.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-nuruu1h-shard-00-02.uh2lbdw.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=866671500, setName='atlas-zi8cat-shard-0', canonicalAddress=ac-nuruu1h-shard-00-02.uh2lbdw.mongodb.net:27017, hosts=[ac-nuruu1h-shard-00-00.uh2lbdw.mongodb.net:27017, ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017, ac-nuruu1h-shard-00-02.uh2lbdw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-nuruu1h-shard-00-01.uh2lbdw.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=65317c19b3161df592f66cd7, counter=4}, lastWriteDate=Mon Oct 23 18:19:17 BST 2023, lastUpdateTimeNanos=368207663368900}
